"","location","year","tech_jobs","all_jobs","percentage","growth"
"318",90027,2010,1805,21056,11.6653739612188,0.065737980597703
"319",90027,2011,2786,22541,8.0908111988514,-0.306425046830985
"320",90027,2012,2730,23480,8.6007326007326,0.0630247560286157
"321",90027,2013,1386,24714,17.8311688311688,1.07321511537866
"322",90027,2014,1204,24758,20.563122923588,0.153212283405884
"323",90027,2015,1063,25319,23.8184383819379,0.158308417959982
"324",90027,2016,1098,25530,23.2513661202186,-0.023808120945047
"325",90027,2017,2247,26661,11.8651535380507,-0.489700799656102
"326",90028,2005,5902,21781,3.69044391731616,NA
"327",90028,2006,6356,22487,3.53791692888609,-0.0413302550715894
"328",90028,2007,7496,24309,3.2429295624333,-0.0833788278193605
"329",90028,2008,7407,24571,3.31726744970973,0.0229230656556898
"330",90028,2009,6855,22676,3.30795040116703,-0.00280865160375221
"331",90028,2010,6992,23648,3.38215102974828,0.0224309979239938
"332",90028,2011,7439,25279,3.39817179728458,0.00473685751918951
"333",90028,2012,7366,26408,3.58512082541406,0.0550145899859658
"334",90028,2013,7107,29498,4.15055579006613,0.157717129264887
"335",90028,2014,6749,29271,4.33708697584827,0.0449412549106272
"336",90028,2015,7276,30088,4.13523914238593,-0.0465399551787565
"337",90028,2016,7371,30618,4.15384615384615,0.00449962162272732
"338",90028,2017,8345,33301,3.99053325344518,-0.0393160686150502
"339",90029,2005,192,5174,26.9479166666667,NA
"340",90029,2006,85,5140,60.4705882352941,1.24398008140249
"341",90029,2007,109,5499,50.4495412844037,-0.165717702495271
"342",90029,2008,72,5401,75.0138888888889,0.486909236022711
"343",90029,2009,53,5085,95.9433962264151,0.279008429605977
"344",90029,2010,99,5517,55.7272727272727,-0.419165102350943
"345",90029,2011,94,5673,60.3510638297872,0.0829717816111897
"346",90029,2012,102,5739,56.2647058823529,-0.0677097914787279
"347",90029,2013,129,7099,55.031007751938,-0.0219266787423464
"348",90029,2014,110,7122,64.7454545454545,0.176526783541857
"349",90029,2015,110,7250,65.9090909090909,0.01797247964055
"350",90029,2016,122,7124,58.3934426229508,-0.114030525720746
"351",90029,2017,141,7478,53.0354609929078,-0.0917565635689566
"352",90031,2005,297,9183,30.9191919191919,NA
"353",90031,2006,360,9024,25.0666666666667,-0.189284547533486
"354",90031,2007,356,8541,23.9915730337079,-0.0428893736552715
"355",90031,2008,383,8397,21.9242819843342,-0.0861673824583798
"356",90031,2009,318,7400,23.2704402515723,0.0614003353998094
"357",90031,2010,293,8331,28.4334470989761,0.221869753712757
"358",90031,2011,291,8616,29.6082474226804,0.0413175482949659
"359",90031,2012,265,8436,31.8339622641509,0.0751721238240395
"360",90031,2013,266,9872,37.1127819548872,0.165823520394158
"361",90031,2014,256,11353,44.34765625,0.194942925698947
"362",90031,2015,292,10835,37.1061643835616,-0.163289167427836
"363",90031,2016,395,11103,28.1088607594937,-0.242474633892741
"364",90031,2017,397,10721,27.0050377833753,-0.0392695735897277
"365",90032,2005,0,6004,Inf,NA
"366",90032,2006,134,5894,43.9850746268657,-1
"367",90032,2007,118,5788,49.0508474576271,0.115170267954196
"368",90032,2008,111,6089,54.8558558558559,0.118346750343986
"369",90032,2009,122,6290,51.5573770491803,-0.0601299306193109
"370",90032,2010,47,7407,157.595744680851,2.05670601765721
"371",90032,2011,84,7500,89.2857142857143,-0.433450982661189
"372",90032,2012,72,7523,104.486111111111,0.170244444444444
"373",90032,2013,71,8569,120.69014084507,0.155083097281014
"374",90032,2014,110,9900,90,-0.254288715135955
"375",90032,2015,602,10410,17.2923588039867,-0.807862679955703
"376",90032,2016,550,10006,18.1927272727273,0.0520674176927778
"377",90032,2017,3,10450,3483.33333333333,190.468452261976
"378",90033,2005,420,18264,43.4857142857143,NA
"379",90033,2006,408,18172,44.5392156862745,0.0242263791193218
"380",90033,2007,432,18934,43.8287037037037,-0.015952503240639
"381",90033,2008,412,18843,45.7354368932039,0.0435042113586184
"382",90033,2009,297,17059,57.4377104377104,0.255868847865875
"383",90033,2010,194,18784,96.8247422680412,0.685734712093807
"384",90033,2011,213,18711,87.8450704225352,-0.0927415001079733
