"","GEOID","year","tech","info","prof","per","total"
"481",90019,2006,494,77,417,8.93,5535
"482",90020,2006,163,68,95,1.42,11500
"483",90021,2006,905,0,905,3.36,26908
"484",90022,2006,475,173,302,2.76,17207
"485",90023,2006,343,16,327,1.4,24446
"486",90024,2006,3716,1424,2292,8.12,45764
"487",90025,2006,8508,2640,5868,28.54,29814
"488",90026,2006,462,105,357,8.29,5571
"489",90027,2006,2683,2330,353,12.08,22215
"490",90028,2006,6356,4137,2219,28.27,22487
"491",90029,2006,85,0,85,1.65,5140
"492",90030,2006,0,0,0,0,303
"493",90031,2006,360,50,310,3.99,9024
"494",90032,2006,134,0,134,2.27,5894
"495",90033,2006,408,0,408,2.25,18172
"496",90034,2006,1397,458,939,15.52,9004
"497",90035,2006,3067,2630,437,27.23,11264
"498",90036,2006,13954,7338,6616,46.14,30241
"499",90037,2006,218,0,218,3.56,6129
"500",90038,2006,6139,5231,908,45.94,13364
"501",90039,2006,603,66,537,6.23,9677
"502",90040,2006,2393,425,1968,5.45,43941
"503",90041,2006,469,130,339,8.1,5792
"504",90042,2006,114,15,99,3.92,2905
"505",90043,2006,61,42,19,2.22,2749
"506",90044,2006,100,53,47,3.63,2753
"507",90045,2006,5540,3143,2397,8.19,67617
"508",90046,2006,1319,528,791,10.9,12105
"509",90047,2006,80,35,45,1.95,4112
"510",90048,2006,4229,1836,2393,12.43,34023
"511",90049,2006,5466,0,5466,25,21864
"512",90050,2006,0,0,0,0,14
"513",90051,2006,0,0,0,0,343
"514",90052,2006,0,0,0,0,126
"515",90053,2006,0,0,0,0,28
"516",90054,2006,0,0,0,0,518
"517",90055,2006,0,0,0,0,47
"518",90056,2006,483,107,376,16.21,2980
"519",90057,2006,722,64,658,8,9022
"520",90058,2006,660,53,607,1.44,45904
"521",90059,2006,13,0,13,0.34,3849
"522",90060,2006,0,0,0,0,67
"523",90061,2006,176,81,95,2.65,6633
"524",90062,2006,23,0,23,1.36,1694
"525",90063,2006,122,49,73,3.13,3897
"526",90064,2006,10001,1942,8059,41.29,24220
"527",90065,2006,707,437,270,7.94,8901
"528",90066,2006,4013,796,3217,30.57,13129
"529",90067,2006,10813,3072,7741,42.96,25167
"530",90068,2006,977,499,478,26.61,3672
"531",90069,2006,2331,573,1758,15.17,15369
"532",90070,2006,0,0,0,0,144
"533",90071,2006,12383,298,12085,37.47,33046
"534",90072,2006,0,0,0,0,15
"535",90073,2006,0,0,0,0,4303
"536",90075,2006,0,0,0,0,2
"537",90076,2006,0,0,0,0,11
"538",90077,2006,100,34,66,4.61,2170
"539",90078,2006,0,0,0,0,32
"540",90079,2006,81,0,81,7.14,1135
"541",90080,2006,0,0,0,0,381
"542",90082,2006,0,0,0,0,6
"543",90083,2006,0,0,0,0,2
"544",90086,2006,116,0,116,7.68,1511
"545",90087,2006,0,0,0,0,2
"546",90089,2006,0,0,0,0,20608
"547",90091,2006,0,0,0,0,9
"548",90093,2006,0,0,0,0,3
"549",90094,2006,6,0,6,2.26,265
"550",90095,2006,176,0,176,2.18,8068
"551",90201,2006,251,86,165,1.46,17241
"552",90202,2006,0,0,0,0,69
"553",90209,2006,12,12,0,1.85,648
"554",90210,2006,2513,1175,1338,13.02,19296
"555",90211,2006,1855,1056,799,18.13,10231
"556",90212,2006,2964,515,2449,19.46,15232
"557",90213,2006,0,0,0,0,146
"558",90220,2006,1114,135,979,4.49,24787
"559",90221,2006,272,61,211,2,13632
"560",90222,2006,0,0,0,0,2612
"561",90224,2006,0,0,0,0,331
"562",90230,2006,2161,548,1613,10.36,20851
"563",90231,2006,0,0,0,0,7958
"564",90232,2006,2664,935,1729,17.16,15520
"565",90233,2006,0,0,0,0,20
"566",90240,2006,223,0,223,4.6,4845
"567",90241,2006,875,305,570,4.42,19813
"568",90242,2006,640,41,599,6.6,9699
"569",90245,2006,13926,2429,11497,24.74,56290
"570",90247,2006,134,0,134,1.05,12719
"571",90248,2006,1455,603,852,4.44,32742
"572",90249,2006,152,3,149,1.52,10033
"573",90250,2006,737,119,618,3.84,19170
"574",90251,2006,0,0,0,0,199
"575",90254,2006,506,155,351,8.99,5630
"576",90255,2006,122,122,0,1.05,11640
"577",90260,2006,227,0,227,4.01,5654
"578",90261,2006,0,0,0,0,82
"579",90262,2006,34,0,34,0.34,9951
"580",90263,2006,0,0,0,0,2722
"581",90264,2006,0,0,0,0,9
"582",90265,2006,1328,349,979,18.22,7290
"583",90266,2006,1860,411,1449,12.1,15369
"584",90267,2006,0,0,0,0,12
"585",90270,2006,41,0,41,1.42,2879
"586",90272,2006,708,132,576,16.52,4286
"587",90274,2006,643,248,395,8.58,7492
"588",90275,2006,385,19,366,12.12,3176
"589",90277,2006,681,97,584,6.74,10107
